ticker,month,month_name,count,mean,median,std,se_mean
ADA-USD,1,January,8,0.19246523474407307,0.025605595676208015,0.4514476448409212,0.15961084550885574
ADA-USD,2,February,8,0.27543692909993767,-0.09314555184122697,1.0422388498473352,0.36848707917155926
ADA-USD,3,March,8,0.0036840878083631984,0.01844782563191777,0.3428958072582638,0.12123197527637684
ADA-USD,4,April,8,0.1596658996999823,0.019784778752789167,0.5067368217611911,0.17915852147212852
ADA-USD,5,May,8,0.06997077524814545,0.010580228123646007,0.2870568854958317,0.10148993516019644
ADA-USD,6,June,8,-0.1685525998819071,-0.18613142582783943,0.14889186160182627,0.05264122250107014
ADA-USD,7,July,8,0.1103056145646771,0.05620828756587937,0.2761935868602431,0.0976491790945568
ADA-USD,8,August,8,0.01921511296030011,-0.12607291591603015,0.45282642294455083,0.16009831718226974
ADA-USD,9,September,7,-0.09537231959419198,-0.1356967853783141,0.11336265436564728,0.042847055916239045
ADA-USD,10,October,7,-0.03655609594740507,-0.07066884106652482,0.11169882326899554,0.042218186872616706
ADA-USD,11,November,7,0.3406956627077596,-0.029085465239408248,0.9045774061917434,0.34189812262731595
ADA-USD,12,December,8,0.6135258247552141,-0.05109958859915742,1.7938239529327464,0.6342125406868016
BTC-USD,1,January,11,-0.0033572583480719898,0.0069105916320904015,0.22650853328659876,0.06829489242957952
BTC-USD,2,February,11,0.12461832117397509,0.1223941500332939,0.18117740864184628,0.054627044086718
BTC-USD,3,March,11,0.0035686474449673007,-0.021619399346929025,0.19106259452204497,0.05760753977285783
BTC-USD,4,April,11,0.10008369669500632,0.07580223349397341,0.18780289599569758,0.05662470368726068
BTC-USD,5,May,11,0.09142877185425778,0.09268347920493625,0.31854876102697555,0.09604606525082411
BTC-USD,6,June,11,0.019099781742731536,0.023865516830480216,0.18764732376132165,0.05657779689369503
BTC-USD,7,July,11,0.09029631153952718,0.08202318631636807,0.1149710923293285,0.03466508863579004
BTC-USD,8,August,11,-0.00010692013086526837,-0.07877467543494365,0.22797039918675616,0.06873566158272836
BTC-USD,9,September,10,-0.02544814442811936,-0.044683867482393225,0.07108697779783227,0.022479676181897053
BTC-USD,10,October,11,0.18505026357351773,0.14963386012549873,0.18967410613434982,0.057188894772153255
BTC-USD,11,November,11,0.09781223208341285,0.08783270039094293,0.28536301924771074,0.0860401876261475
BTC-USD,12,December,11,0.08082518201189512,-0.03131032825862812,0.22166898722078945,0.06683571438813134
ETH-USD,1,January,8,0.1873404894607514,0.16307508412279648,0.3644212987853588,0.12884238578996807
ETH-USD,2,February,8,0.0724850119085169,0.08137715574305304,0.25937577163875547,0.09170318350062868
ETH-USD,3,March,8,-0.046757057872813826,0.06320582197115021,0.29938764394721573,0.10584951661926993
ETH-USD,4,April,8,0.1883594873842881,0.08803404202667009,0.33348591667723576,0.11790507655634268
ETH-USD,5,May,8,0.12190680450576216,0.05555012371140661,0.30542026128772054,0.10798236893415718
ETH-USD,6,June,8,-0.10412763348010887,-0.05359118101482835,0.1706385888315072,0.060329851647430904
ETH-USD,7,July,8,0.16386480080758803,0.037597484570733364,0.3190968454846628,0.11281777164872052
ETH-USD,8,August,8,-0.02170598444169565,-0.09472028748820871,0.25521548781552056,0.09023230104909363
ETH-USD,9,September,7,-0.0752753498982919,-0.1258262517678288,0.10154188781309578,0.03837922611563882
ETH-USD,10,October,7,0.08725209421520316,0.07404740740640259,0.1835849674723131,0.06938859548308894
ETH-USD,11,November,7,0.07140671036177544,0.08008368503853802,0.36563792474713186,0.13819814553923718
ETH-USD,12,December,8,0.08127890763887605,0.0175916717975918,0.2906888062095259,0.10277401304288897
SOL-USD,1,January,5,0.5984655912298933,0.22388473638820616,0.965210619468437,0.43165531154722137
SOL-USD,2,February,5,0.38341556634667684,-0.0021906270870832856,0.9712276911852793,0.43434622782409155
SOL-USD,3,March,5,0.22835462134366713,0.23252645152902063,0.329161844243096,0.1472056518653521
SOL-USD,4,April,5,0.15777978113642416,0.07848271943883289,0.6335897376393069,0.28334994464154944
SOL-USD,5,May,6,-0.09928689086812642,-0.13152784841571846,0.2627055843979307,0.10724910572576529
SOL-USD,6,June,6,0.017663947682176533,-0.05234848697968486,0.2671875021862679,0.10907884100085355
SOL-USD,7,July,6,0.27149681604988196,0.21409492801519292,0.2674018243974619,0.10916633767718192
SOL-USD,8,August,6,0.5834981352519333,-0.0418976787583869,1.1258167861706536,0.4596127783296898
SOL-USD,9,September,5,0.03462578338589324,0.08411691958690515,0.2577921243721273,0.11528814283203137
SOL-USD,10,October,5,0.17049041663333447,0.10360163823169843,0.47823251705935466,0.21387208343910896
SOL-USD,11,November,5,0.13796655520760465,0.2766217322865838,0.43667135204735247,0.19528536540092442
SOL-USD,12,December,5,-0.040106246474838424,-0.20391393906361777,0.4232880839264182,0.18930018594502143
XRP-USD,1,January,8,0.13522841953719195,0.03726623009250796,0.5416970216539965,0.19151881868004847
XRP-USD,2,February,8,-0.041633062063603954,-0.05277784503579935,0.18861730490749942,0.06668628767461175
XRP-USD,3,March,8,0.025305535125414155,0.011509831803596937,0.28801391965441553,0.10182829783187733
XRP-USD,4,April,8,0.25874124349629274,0.024721159991728525,0.6760506110173087,0.2390199857378239
XRP-USD,5,May,8,-0.04982876885452944,-0.026923533769769525,0.24942685052524058,0.08818570870820049
